Ruangan
7602;07.00;14.00;1,2,3,4,5
7603;07.00;14.00;1,3,5
7603;07.00;18.00;2
7603;07.00;18.00;4
7610;09.00;12.00;1,2,3,4,5
Labdas2;10.00;14.00;2,4

Jadwal
IF2110;7602;07.00;12.00;4;1,2,3,4,5
IF2130;-;10.00;16.00;3;3,4
IF2150;-;09.00;13.00;2;1,3,5
IF2170;7610;07.00;12.00;3;1,2,3,4,5
IF3110;7602;07.00;09.00;2;1,2,3,4,5
IF3130;-;07.00;12.00;2;3,4,5
IF3170;7602;07.00;09.00;2;1,2,3
IF3180;7603;07.00;15.00;3;1,4,5
IF3190;7610;07.00;14.00;3;1,5
IF3200;-;07.00;09.00;2;4
IF3210;-;07.00;09.00;2;1
IF3220;7602;07.00;13.00;4;1,3,4,5
IF3230;7610;07.00;14.00;3;1,4,5
IF3240;-;07.00;09.00;2;4
IF3250;-;07.00;09.00;2;1
IF3260;7602;07.00;13.00;4;1,3,4,5
IF3270;7610;07.00;14.00;3;1,4,5
IF3280;-;07.00;09.00;2;4
IF3290;-;07.00;09.00;2;1
IF3300;7602;07.00;13.00;4;1,3,4,5
IF3310;7610;07.00;14.00;3;1,4,5
